ID,Plot,Species,Aboveground,Belowground,Height (cm),Diameter Base (cm),TotalDryMass,Total Branches (g),Total Petioles (g),Stem (g), Roots (g),TotalLeafMass,LeafAveMass,DryMass.1,DryMass.2,DryMass.3,DryMass.4,DryMass.5,DryMass.6,DryMass.7,DryMass.8,DryMass.9,DryMass.10,DryMass.11,DryMass.12,DryMass.13,DryMass.14,DryMass.15,DryMass.16,DryMass.17,DryMass.18,DryMass.19,DryMass.20,DryMass.21,DryMass.22,DryMass.23,DryMass.24,DryMass.25,DryMass.26,DryMass.27,DryMass.28,DryMass.29,DryMass.30,DryMass.31,DryMass.32,DryMass.33,DryMass.34,DryMass.35,DryMass.36,DryMass.37,DryMass.38
11,6.3,Sapindus saponaria,Covered,Protected,10,0.3,0.33,,0.01,0.1,0.16,0.06,0.02,0.03,0.01,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,6.3,Sapindus saponaria,Covered,Protected,14,0.3,0.27,,0.04,0.1,0.09,0.04,0.02,0.03,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,6.3,Sapindus saponaria,Exposed,Unprotected,13,0.4,1.27,,0.01,0.38,0.52,0.36,0.05,0.07,0.17,0.04,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,6.3,Sapindus saponaria,Covered,Unprotected,14,0.3,0.64,,0.01,0.23,0.18,0.22,0.03,0.04,0.03,0.03,0.03,0.03,0.03,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,8.2,Sapindus saponaria,Exposed,Protected,66,1.3,52.06,,0.82,19.71,18.58,12.95,0.54,0.13,0.42,0.36,0.94,0.79,1.27,0.98,0.82,0.89,0.98,0.66,0.76,0.71,0.52,0.3,0.46,0.38,0.52,0.47,0.12,0.14,0.1,0.16,0.07,,,,,,,,,,,,,,
63,8.2,Cymbopetalum baillonii,Exposed,Unprotected,32,1.2,10.3,0.15,,3.44,3.46,3.25,0.30,0.25,0.41,0.23,0.25,0.28,0.27,0.03,0.47,0.38,0.21,0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,8.2,Sapindus saponaria,Exposed,Unprotected,10,0.4,1.45,,0.05,0.34,0.59,0.47,0.08,0.06,0.12,0.03,0.1,0.08,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,8.2,Cymbopetalum baillonii,Exposed,Unprotected,26,0.5,2.03,0.2,,1.23,0.38,0.22,0.04,0.09,0.05,0.05,0.01,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,10.2,Cymbopetalum baillonii,Exposed,Protected,44,0.9,11.19,0.87,,2.64,2.47,5.21,0.16,0.53,0.51,0.28,0.33,0.54,0.22,0.29,0.13,0.17,0.16,0.16,0.25,0.16,0.34,0.11,0.09,0.1,0.07,0.03,0.05,0.04,0.04,0.13,0.03,0.04,0.03,0.09,0.09,0.11,0.04,0.04,0.01,,,,,,
84,10.2,Cymbopetalum baillonii,Exposed,Protected,47,1.1,27.37,1.18,,8.73,8.26,9.2,0.24,0.69,0.75,0.37,0.74,0.61,0.47,0.31,0.33,0.34,0.43,0.56,0.22,0.31,0.23,0.15,0.32,0.19,0.12,0.17,0.19,0.13,0.1,0.11,0.13,0.21,0.11,0.11,0.11,0.1,0.06,0.08,0.07,0.05,0.08,0.06,0.05,0.07,0.07
85,10.2,Cymbopetalum baillonii,Exposed,Protected,10,0.3,0.55,0.01,,0.13,0.19,0.22,0.02,0.05,0.05,0.04,0.02,0.02,0.01,0.01,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,10.2,Sapindus saponaria,Exposed,Protected,50,1,4.99,,0.09,1.3,2,1.6,0.09,0.07,0.04,0.01,0.22,0.17,0.12,0.09,0.09,0.09,0.2,0.16,0.09,0.08,0.03,0.04,0.05,0.05,,,,,,,,,,,,,,,,,,,,,
87,10.2,Cymbopetalum baillonii,Exposed,Protected,50,1,18.43,1.08,,6,4.83,6.52,0.21,0.55,0.47,0.2,0.19,0.5,0.51,0.57,0.52,0.44,0.38,0.27,0.18,0.16,0.14,0.13,0.15,0.18,0.14,0.13,0.09,0.11,0.08,0.1,0.1,0.04,0.04,0.04,0.03,0.02,0.03,0.03,,,,,,,
88,10.2,Cymbopetalum baillonii,Exposed,Protected,35,0.9,12.13,0.57,,3.85,3.59,4.12,0.15,0.32,0.37,0.28,0.32,0.29,0.27,0.18,0.17,0.2,0.12,0.19,0.14,0.18,0.23,0.12,0.07,0.08,0.06,0.1,0.1,0.06,0.05,0.06,0.05,0.04,0.04,0.02,0.01,,,,,,,,,,
91,10.2,Sapindus saponaria,Covered,Protected,26,0.4,2.15,,0.06,0.75,0.79,0.55,0.08,0.1,0.12,0.05,0.07,0.15,0.03,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,10.2,Cymbopetalum baillonii,Covered,Protected,26,0.4,0.57,0.01,,0.17,0.23,0.16,0.03,0.05,0.03,0.03,0.02,0.02,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,10.2,Cymbopetalum baillonii,Covered,Protected,20,0.4,0.58,0.01,,0.19,0.1,0.28,0.03,0.03,0.06,0.04,0.03,0.03,0.04,0.03,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,10.2,Sapindus saponaria,Covered,Protected,10,0.2,0.24,,0.01,0.1,0.05,0.08,0.02,0.03,0.02,0.01,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,10.2,Sapindus saponaria,Exposed,Unprotected,38,10,24.81,,0.44,9.31,7.52,7.54,0.40,0.1,0.67,0.89,0.84,0.67,0.71,0.35,0.17,0.15,0.19,0.39,0.15,0.13,0.54,0.44,0.25,0.55,0.34,0.01,,,,,,,,,,,,,,,,,,,
126,15.3,Sapindus saponaria,Exposed,Protected,36,0.8,8.34,,0.62,2.52,1.86,3.34,0.17,0.21,0.48,0.32,0.47,0.45,0.14,0.11,0.14,0.12,0.18,0.09,0.05,0.08,0.04,0.07,0.03,0.03,0.02,0.08,0.23,,,,,,,,,,,,,,,,,,
128,15.3,Sapindus saponaria,Exposed,Protected,17,0.5,4.2,,0.11,1.62,1.37,1.1,0.11,0.15,0.1,0.04,0.13,0.19,0.11,0.15,0.06,0.06,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,15.3,Cymbopetalum baillonii,Covered,Protected,17,0.3,0.39,0.01,,0.19,0.11,0.08,0.01,0.02,0.01,0.02,0.01,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,15.3,Cymbopetalum baillonii,Covered,Protected,13,0.3,0.74,0.03,,0.34,0.08,0.29,0.04,0.05,0.05,0.04,0.03,0.03,0.02,0.03,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,15.3,Cymbopetalum baillonii,Covered,Protected,24,0.4,1.49,0.07,,0.39,0.21,0.82,0.05,0.12,0.11,0.06,0.07,0.03,0.06,0.03,0.07,0.04,0.04,0.03,0.04,0.03,0.04,0.03,0.01,0.01,,,,,,,,,,,,,,,,,,,,,
140,15.3,Sapindus saponaria,Covered,Protected,6,0.2,0.19,,0.01,0.04,0.1,0.04,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,15.3,Sapindus saponaria,Exposed,Unprotected,14,0.4,1.22,,0,0.56,0.39,0.27,0.09,0.03,0.04,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,15.3,Sapindus saponaria,Exposed,Unprotected,21,0.7,3.65,,0.06,1.27,1.36,0.96,0.16,0.16,0.11,0.17,0.14,0.16,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,15.3,Sapindus saponaria,Covered,Unprotected,15,0.3,0.85,,0.01,0.36,0.23,0.25,0.05,0.04,0.06,0.05,0.05,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,15.3,Cymbopetalum baillonii,Covered,Unprotected,13,0.2,0.2,0.01,,0.09,0.03,0.07,0.01,0.02,0.02,0.01,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,15.3,Sapindus saponaria,Covered,Unprotected,17,0.3,1.39,,0.01,0.52,0.44,0.42,0.05,0.07,0.07,0.06,0.05,0.03,0.09,0.03,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,15.3,Cymbopetalum baillonii,Covered,Unprotected,16,0.3,0.41,0.01,,0.17,0.09,0.14,0.02,0.04,0.02,0.03,0.02,0.02,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,15.4,Sapindus saponaria,Exposed,Protected,35,1.1,27.73,,0.46,7.19,11.41,8.67,0.41,0.44,0.54,0.76,0.12,0.23,0.24,0.58,0.11,0.69,0.74,0.9,0.38,0.13,0.67,0.27,0.37,0.69,0.18,0.38,0.2,0.05,,,,,,,,,,,,,,,,,
169,15.4,Sapindus saponaria,Exposed,Protected,46,1,25.13,,0.43,8.96,9.71,6.03,0.35,0.28,0.14,0.87,0.7,0.2,0.15,0.69,0.18,0.27,0.25,0.43,0.3,0.32,0.23,0.38,0.52,0.12,,,,,,,,,,,,,,,,,,,,,
171,15.4,Cymbopetalum baillonii,Covered,Protected,10,0.3,0.3,0.01,,0.1,0.04,0.15,0.02,0.03,0.03,0.01,0.01,0.01,0.03,0.02,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,15.4,Sapindus saponaria,Covered,Protected,16,0.4,0.79,,0.01,0.41,0.26,0.11,0.06,0.06,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,15.4,Cymbopetalum baillonii,Covered,Protected,19,0.4,0.8,0.03,,0.24,0.2,0.33,0.03,0.06,0.05,0.04,0.03,0.02,0.03,0.03,0.03,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,15.4,Sapindus saponaria,Exposed,Unprotected,129,3,209.48,,0.08,106.03,81.96,21.41,0.69,0.74,0.79,0.49,1,0.84,0.76,0.82,0.68,0.44,0.21,0.74,1.3,1.07,1,0.74,0.39,0.75,0.44,0.32,1.1,0.8,0.78,0.84,1.11,0.23,0.59,0.52,0.37,1.05,0.42,0.08,,,,,,,
191,15.4,Cymbopetalum baillonii,Covered,Unprotected,21,0.4,0.81,0.04,,0.2,0.26,0.31,0.02,0.03,0.04,0.03,0.02,0.01,0.04,0.02,0.02,0.01,0.02,0.02,0.02,0.01,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,
192,15.4,Sapindus saponaria,Covered,Unprotected,12,0.2,0.2,,0.01,0.08,0.08,0.03,0.01,0.01,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,15.4,Cymbopetalum baillonii,Covered,Unprotected,31,0.5,2.31,0.12,,0.8,0.38,1.01,0.06,0.1,0.14,0.13,0.08,0.11,0.06,0.07,0.05,0.07,0.05,0.03,0.03,0.05,0.01,0.02,0.01,,,,,,,,,,,,,,,,,,,,,,
198,15.4,Sapindus saponaria,Covered,Unprotected,23,0.5,1.78,,0.01,0.72,0.69,0.36,0.07,0.09,0.11,0.05,0.1,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,15.4,Cymbopetalum baillonii,Covered,Unprotected,17,0.3,0.67,,0.03,0.2,0.08,0.36,0.03,0.06,0.03,0.03,0.03,0.03,0.04,0.03,0.03,0.02,0.02,0.01,0.01,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,
200,15.4,Sapindus saponaria,Covered,Unprotected,24,0.4,1.33,,0.01,0.61,0.49,0.22,0.06,0.04,0.05,0.12,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,15.4,Cymbopetalum baillonii,Covered,Unprotected,20,0.4,1.66,0.09,,0.49,0.28,0.8,0.06,0.12,0.09,0.07,0.07,0.07,0.05,0.08,0.04,0.07,0.05,0.05,0.03,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
202,24.2,Sapindus saponaria,Exposed,Protected,10,0.4,1.65,,0.01,0.55,0.67,0.42,0.06,0.07,0.12,0.07,0.11,0.03,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,24.2,Sapindus saponaria,Exposed,Protected,14,0.5,2.9,,0.01,0.67,1.44,0.78,0.16,0.14,0.36,0.07,0.07,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,24.2,Sapindus saponaria,Exposed,Protected,13,0.5,3.69,,0.05,1,1.87,0.77,0.10,0.13,0.15,0.13,0.1,0.11,0.07,0.05,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,24.2,Cymbopetalum baillonii,Exposed,Protected,30,0.6,7.46,0.29,,1.84,1.94,3.39,0.15,0.38,0.49,0.32,0.31,0.37,0.25,0.22,0.18,0.17,0.13,0.06,0.05,0.06,0.07,0.05,0.05,0.06,0.07,0.04,0.03,0.01,0.01,0.01,,,,,,,,,,,,,,,
206,24.2,Sapindus saponaria,Exposed,Protected,17,0.5,4.25,,0.07,1.25,2.05,0.88,0.13,0.25,0.01,0.16,0.05,0.25,0.15,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,24.2,Cymbopetalum baillonii,Exposed,Protected,18,0.4,1.5,,0.08,0.4,0.29,0.73,0.05,0.16,0.07,0.05,0.04,0.09,0.05,0.06,0.03,0.03,0.03,0.03,0.02,0.03,0.02,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,
211,24.2,Sapindus saponaria,Covered,Protected,10,0.2,0.46,0.08,,0.16,0.12,0.1,0.02,0.01,0.01,0.03,0.03,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,24.2,Sapindus saponaria,Covered,Protected,12,0.3,0.51,,0.01,0.17,0.18,0.15,0.02,0.04,0.04,0.03,0.01,0.01,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,24.2,Sapindus saponaria,Exposed,Unprotected,22,0.8,11.56,,0.23,2.31,3.08,5.94,0.42,0.26,0.31,0.3,0.27,0.19,0.22,0.31,0.32,0.22,0.14,0.14,0.09,0.07,3.1,,,,,,,,,,,,,,,,,,,,,,,,
230,24.2,Cymbopetalum baillonii,Exposed,Unprotected,7,0.3,0.15,0,,0.08,0.04,0.03,0.01,0.01,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,24.2,Sapindus saponaria,Covered,Unprotected,7,0.3,0.25,,0.01,0.11,0.11,0.02,0.01,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SASA3,Invernadero,Sapindus saponaria,Invernadero,Invernadero,,,3.23,,,3.23,NA,0,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SASA9,Invernadero,Sapindus saponaria,Invernadero,Invernadero,,,8.49,,,2.92,5.41,0.16,0.05,0.06,0.06,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SASA19,Invernadero,Sapindus saponaria,Invernadero,Invernadero,,,13.13,,,5.84,6.81,0.48,0.10,0.11,0.08,0.13,0.08,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SASA24,Invernadero,Sapindus saponaria,Invernadero,Invernadero,,,1,,,0.34,0.6,0.06,0.03,0.05,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CYBA3,Invernadero,Cymbopetalum baillonii,Invernadero,Invernadero,,,9.82,,,4.28,4.69,0.85,0.12,0.25,0.14,0.13,0.11,0.11,0.07,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CYBA4,Invernadero,Cymbopetalum baillonii,Invernadero,Invernadero,,,9.26,,,4.26,4.54,0.46,0.08,0.11,0.11,0.09,0.07,0.07,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CYBA5,Invernadero,Cymbopetalum baillonii,Invernadero,Invernadero,,,11.21,,,4.86,5.62,0.73,0.09,0.04,0.09,0.33,0.14,0.01,0.05,0.04,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CYBA6,Invernadero,Cymbopetalum baillonii,Invernadero,Invernadero,,,12.65,,,5.28,6.69,0.68,0.11,0.39,0.11,0.09,0.07,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CYBA8,Invernadero,Cymbopetalum baillonii,Invernadero,Invernadero,,,6.66,,,2.34,3.93,0.39,0.08,0.22,0.06,0.04,0.03,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CYBA13,Invernadero,Cymbopetalum baillonii,Invernadero,Invernadero,,,10.09,,,4.88,4.65,0.56,0.11,0.23,0.14,0.07,0.05,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CYBA24,Invernadero,Cymbopetalum baillonii,Invernadero,Invernadero,,,6.1,,,2.84,2.6,0.66,0.13,0.41,0.05,0.07,0.06,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CYBA25,Invernadero,Cymbopetalum baillonii,Invernadero,Invernadero,,,9,,,5.27,3.35,0.38,0.08,0.13,0.07,0.11,0.06,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CYBA27,Invernadero,Cymbopetalum baillonii,Invernadero,Invernadero,,,9.15,,,2.77,2.84,3.54,0.39,0.14,0.09,0.2,0.15,0.05,0.01,0.01,0.03,2.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CYBA28,Invernadero,Cymbopetalum baillonii,Invernadero,Invernadero,,,4.49,,,2.45,1.73,0.31,0.10,0.11,0.12,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CYBA35,Invernadero,Cymbopetalum baillonii,Invernadero,Invernadero,,,3.81,,,3.32,,0.49,0.08,0.17,0.14,0.09,0.05,0.03,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CYBA38,Invernadero,Cymbopetalum baillonii,Invernadero,Invernadero,,,4.61,,,1.98,2.13,0.5,0.07,0.14,0.07,0.09,0.06,0.04,0.06,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CYBA39,Invernadero,Cymbopetalum baillonii,Invernadero,Invernadero,,,5.66,,,2.45,2.82,0.39,0.07,0.19,0.04,0.07,0.07,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CYBA40,Invernadero,Cymbopetalum baillonii,Invernadero,Invernadero,,,5.21,,,2.28,2.48,0.45,0.09,0.03,0.2,0.13,0.06,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CYBA42,Invernadero,Cymbopetalum baillonii,Invernadero,Invernadero,,,11.27,,,5.96,4.77,0.54,0.11,0.25,0.12,0.09,0.07,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CYBA45,Invernadero,Cymbopetalum baillonii,Invernadero,Invernadero,,,13.5,,,5.44,6.14,1.92,0.32,0.72,0.82,0.14,0.09,0.1,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CYBA46,Invernadero,Cymbopetalum baillonii,Invernadero,Invernadero,,,7.51,,,3.65,3.23,0.63,0.16,0.33,0.17,0.07,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CYBA47,Invernadero,Cymbopetalum baillonii,Invernadero,Invernadero,,,6.27,,,3.06,2.79,0.42,0.06,0.03,0.11,0.06,0.09,0.05,0.05,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CYBA53,Invernadero,Cymbopetalum baillonii,Invernadero,Invernadero,,,5.48,,,2.66,2.56,0.26,0.04,0.07,0.07,0.04,0.03,0.03,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,